Date,INDEXBVMF:IBOV
2016-06-03,50619.5
2016-06-06,50431.8
2016-06-07,50487.86
2016-06-08,51629.29
2016-06-09,51118.46
2016-06-10,49422.16
2016-06-13,49660.79
2016-06-14,48648.29
2016-06-15,48914.74
2016-06-16,49411.62
2016-06-17,49533.84
2016-06-20,50329.36
2016-06-21,50837.8
2016-06-22,50156.3
2016-06-23,51559.82
2016-06-24,50105.26
2016-06-27,49245.53
2016-06-28,50006.56
2016-06-29,51001.91
2016-06-30,51526.93
2016-07-01,52233.04
2016-07-04,52568.66
2016-07-05,51842.27
2016-07-06,51901.81
2016-07-07,52014.66
2016-07-08,53140.74
2016-07-11,53960.11
2016-07-12,54256.41
2016-07-13,54598.28
2016-07-14,55480.87
2016-07-15,55578.24
2016-07-18,56484.22
2016-07-19,56698.06
2016-07-20,56578.05
2016-07-21,56641.49
2016-07-22,57002.08
2016-07-25,56872.73
2016-07-26,56782.75
2016-07-27,56852.84
2016-07-28,56667.12
2016-07-29,57308.21
2016-08-01,56755.76
2016-08-02,56162.38
2016-08-03,57076.91
2016-08-04,57593.9
2016-08-05,57661.14
2016-08-08,57635.43
2016-08-09,57689.42
2016-08-10,56919.78
2016-08-11,58299.57
2016-08-12,58298.41
2016-08-15,59145.98
2016-08-16,58855.43
2016-08-17,59323.83
2016-08-18,59166.02
2016-08-19,59098.92
2016-08-22,57781.24
2016-08-23,58020.03
2016-08-24,57717.88
2016-08-25,57722.14
2016-08-26,57716.25
2016-08-29,58610.39
2016-08-30,58575.42
2016-08-31,57901.11
2016-09-01,58236.27
2016-09-02,59616.4
2016-09-05,59566.34
2016-09-06,60129.44
2016-09-08,60231.65
2016-09-09,57999.73
2016-09-12,58586.11
2016-09-13,56820.77
2016-09-14,57059.46
2016-09-15,57909.49
2016-09-16,57079.76
2016-09-19,57350.38
2016-09-20,57736.46
2016-09-21,58393.92
2016-09-22,58994.17
2016-09-23,58697.0
2016-09-26,58053.53
2016-09-27,58382.49
2016-09-28,59355.77
2016-09-29,58350.57
2016-09-30,58367.05
2016-10-03,59461.23
2016-10-04,59339.23
2016-10-05,60254.34
2016-10-06,60644.24
2016-10-07,61108.98
2016-10-10,61668.33
2016-10-11,61021.85
2016-10-13,61118.58
2016-10-14,61767.22
2016-10-17,62696.11
2016-10-18,63782.21
2016-10-19,63505.61
2016-10-20,63837.85
2016-10-21,64108.08
2016-10-24,64059.89
2016-10-25,63866.2
2016-10-26,63825.69
2016-10-27,64249.5
2016-10-28,64307.63
2016-10-31,64924.52
2016-11-01,63326.42
2016-11-03,61750.17
2016-11-04,61598.39
2016-11-07,64051.65
2016-11-08,64157.68
2016-11-09,63258.27
2016-11-10,61200.96
2016-11-11,59183.51
2016-11-14,59657.46
2016-11-16,60759.32
2016-11-17,59770.47
2016-11-18,59961.76
2016-11-21,61070.27
2016-11-22,61954.47
2016-11-23,61985.91
2016-11-24,61395.53
2016-11-25,61559.08
2016-11-28,62855.5
2016-11-29,60986.52
2016-11-30,61906.36
2016-12-01,59506.54
2016-12-02,60316.13
2016-12-05,59831.73
2016-12-06,61088.25
2016-12-07,61414.4
2016-12-08,60676.57
2016-12-09,60500.62
2016-12-12,59178.62
2016-12-13,59280.57
2016-12-14,58212.12
2016-12-15,58396.16
2016-12-16,58389.04
2016-12-19,57110.99
2016-12-20,57582.89
2016-12-21,57646.52
2016-12-22,57255.22
2016-12-23,57937.11
2016-12-26,58620.26
2016-12-27,58696.69
2016-12-28,59781.63
2016-12-29,60227.29
2017-01-02,59588.7
2017-01-03,61813.83
2017-01-04,61589.06
2017-01-05,62070.98
2017-01-06,61665.37
2017-01-09,61700.29
2017-01-10,62131.8
2017-01-11,62446.26
2017-01-12,63953.93
2017-01-13,63651.52
2017-01-16,63831.28
2017-01-17,64354.34
2017-01-18,64149.58
2017-01-19,63950.86
2017-01-20,64521.18
